id,label,expiration_date,value,state
076-PNasaRWCAvBko4s9cBd6dJ,076-PNasaRWCAvBko4s9cBd6dJ,2022-11-30,20,0
077-btuc2J7LysfRm8qM73xFZP,077-btuc2J7LysfRm8qM73xFZP,2022-11-30,20,0
078-3eaeG3QF7dtJAkGacnasib,078-3eaeG3QF7dtJAkGacnasib,2022-11-30,20,0
079-9kg2LpLiVdRndxFAgzwKaN,079-9kg2LpLiVdRndxFAgzwKaN,2022-11-30,20,0
080-LXDQMaHwDH63MDiwAZbV8v,080-LXDQMaHwDH63MDiwAZbV8v,2022-11-30,20,0
081-4Cm9eojSqpYeSrJnyVWh6u,081-4Cm9eojSqpYeSrJnyVWh6u,2022-11-30,20,0
082-VJXTthfsBZxCdTErZnYHu7,082-VJXTthfsBZxCdTErZnYHu7,2022-11-30,20,0
083-BYgCgC5eqhUJ9RJP7GY6eK,083-BYgCgC5eqhUJ9RJP7GY6eK,2022-11-30,20,0
084-ZpmdB5J4EfbaVxcQU9ravm,084-ZpmdB5J4EfbaVxcQU9ravm,2022-11-30,20,0
085-MM8xD5iRHVKmKycGaoC4wJ,085-MM8xD5iRHVKmKycGaoC4wJ,2022-11-30,20,0
086-PPk8vDLTc6UoVTTuG9nLwn,086-PPk8vDLTc6UoVTTuG9nLwn,2022-11-30,20,0
087-cSCme6C8Ydv46pUrMPRKyG,087-cSCme6C8Ydv46pUrMPRKyG,2022-11-30,20,0
088-nNRq4VMtyhYPqNC7i2krng,088-nNRq4VMtyhYPqNC7i2krng,2022-11-30,20,0
089-a2DbFpeG36KbSyGY2TRugt,089-a2DbFpeG36KbSyGY2TRugt,2022-11-30,20,0
090-JgY5WEvaG6bqjmgGNMWWow,090-JgY5WEvaG6bqjmgGNMWWow,2022-11-30,20,0
091-cjRFXpbcUnb7coHEXfEi9h,091-cjRFXpbcUnb7coHEXfEi9h,2022-11-30,20,0
092-CABa9sHu2P4M2fydSGdRj8,092-CABa9sHu2P4M2fydSGdRj8,2022-11-30,20,0
093-4EQYtWZ9n49MmhBWmq9BKA,093-4EQYtWZ9n49MmhBWmq9BKA,2022-11-30,20,0
094-csXohqGiXu77PxkicsayTZ,094-csXohqGiXu77PxkicsayTZ,2022-11-30,20,0
095-GngkV8ZdHJwX6oMEr2woRc,095-GngkV8ZdHJwX6oMEr2woRc,2022-11-30,20,0
096-5o879Bbp6zgXGzLkFrR4Cv,096-5o879Bbp6zgXGzLkFrR4Cv,2022-11-30,20,0
097-48EXKVjU6ys2p6mxKj8b9m,097-48EXKVjU6ys2p6mxKj8b9m,2022-11-30,20,0
098-SuH3dNuPXjNzGS2qBdrtN3,098-SuH3dNuPXjNzGS2qBdrtN3,2022-11-30,20,0
099-fGBAWXJPEiRSS5ECQe8ttL,099-fGBAWXJPEiRSS5ECQe8ttL,2022-11-30,20,0
0100-mAWgChSWz82r8TQnEEJGx8,0100-mAWgChSWz82r8TQnEEJGx8,2022-11-30,20,0
0101-VY5jrjQFEsZ9EbbxWrSnXg,0101-VY5jrjQFEsZ9EbbxWrSnXg,2022-11-30,20,0
0102-W573RnCjCw9Ko5HKjdQJoi,0102-W573RnCjCw9Ko5HKjdQJoi,2022-11-30,20,0
0103-TQKiHZFYhybM4NCbn7Z8HA,0103-TQKiHZFYhybM4NCbn7Z8HA,2022-11-30,20,0
0104-N9CYWMtRJ5dwoK6Sq2Uzab,0104-N9CYWMtRJ5dwoK6Sq2Uzab,2022-11-30,20,0
0105-LqtsRUTQqC3Dyihod6xSST,0105-LqtsRUTQqC3Dyihod6xSST,2022-11-30,20,0
0106-4oDtzoqJXqwVWpeLgxaS5b,0106-4oDtzoqJXqwVWpeLgxaS5b,2022-11-30,20,0
0107-7knsUdCgZY7Dt7BosTWdY6,0107-7knsUdCgZY7Dt7BosTWdY6,2022-11-30,20,0
0108-R4G8KXuxgicKfUhLhsbM3M,0108-R4G8KXuxgicKfUhLhsbM3M,2022-11-30,20,0
0109-nyTp3UAH2UvPcvvyfVTtaQ,0109-nyTp3UAH2UvPcvvyfVTtaQ,2022-11-30,20,0
0110-WfQgtePNk5Czg3HPVrXW54,0110-WfQgtePNk5Czg3HPVrXW54,2022-11-30,20,0
0111-C9sSMxoGEbD9oYcTDUTTUq,0111-C9sSMxoGEbD9oYcTDUTTUq,2022-11-30,20,0
0112-3wjQrAcLb2B5DHUzniTEFq,0112-3wjQrAcLb2B5DHUzniTEFq,2022-11-30,20,0
0113-n4btzeeugigjm4kEt578CJ,0113-n4btzeeugigjm4kEt578CJ,2022-11-30,20,0
0114-TRhWCktPGgmBUqGSSAnou5,0114-TRhWCktPGgmBUqGSSAnou5,2022-11-30,20,0
0115-LjFSBSj2NWs4YB9ZcqJkTo,0115-LjFSBSj2NWs4YB9ZcqJkTo,2022-11-30,20,0
